meter_id,avg_consum,qty_records,customer_id,department,section,segment
1751410,349.6498209635417,34943,48458,1,12,8
1751534,365.6976725260417,34927,1066,1,10,201
1751834,369.2962646484375,34936,90634,1,10,316
1751946,351.2136637369792,34991,7786,1,14,120
1752922,19.646167755126953,34983,94890,10,1,26
1754270,222.8187459309896,34966,79891,3,4,26
1754762,299.17083740234375,35015,86403,11,12,221
1754966,166.58224487304688,34968,90958,5,1,613
1755294,159.09708658854166,34944,66352,1,14,120
1755958,28.687835693359375,34926,81501,16,6,321
1756614,109.9600830078125,34967,74393,3,27,212
1756830,276.3739013671875,34936,81304,1,9,38
1757070,57.79016621907552,34783,92444,5,1,309
1757682,150.6961669921875,34990,157590,3,37,242
1769180,325.12640380859375,34959,48275,3,27,212
1769392,224.94584147135416,34941,52931,10,1,73
1769640,65.81833394368489,34944,64275,5,1,109
1770212,373.2692464192708,35039,11829,1,20,238
1770308,289.14683024088544,34960,52173,16,1,121
1804329,338.01633707682294,35008,84438,3,37,142
1805175,172.71484375,35040,21718,13,1,119
1805387,276.6855875651042,34982,88541,10,1,333
1805763,71.1324971516927,34903,25931,12,1,13
1806097,365.02392578125,34952,21521,3,4,9
1806311,291.5192464192708,35013,13380,1,17,44
1806927,69.97200012207031,34829,13351,17,1,3
1807171,230.55891927083334,34944,115884,15,2,140
1808609,390.9060872395833,35032,43015,15,1,1
1809059,183.43082682291666,35007,144588,1,12,136
1809091,93.94291178385417,34952,24983,5,1,108
1809925,252.5869140625,35008,114327,3,6,6
1810053,197.91817220052084,34657,15877,3,17,445
1810393,188.4886678059896,34990,75202,8,1,10
1810469,261.32248942057294,34998,87349,1,99,151
1810611,295.7609049479167,34920,48739,1,20,40
1811575,277.3976643880208,35007,19975,1,19,112
1812619,107.37325032552083,34952,26912,1,17,141
1813539,37.21216583251953,34959,160807,16,6,113
1814907,184.232421875,35015,40112,15,1,2
1814943,257.77524820963544,34951,23277,1,10,58
1816217,136.9280802408854,34703,36899,1,13,7
1816951,169.090087890625,34936,49176,1,12,219
1817897,294.3241780598958,35008,3140,3,37,593
1818733,292.31516520182294,34998,162097,1,14,208
1819407,188.83333333333334,35040,60321,13,1,8
1819687,270.7220865885417,34912,782,1,22,218
1820919,226.2199910481771,34927,30563,1,17,141
1821249,32.430582682291664,34956,602,1,12,135
1821481,74.3754170735677,34968,54029,1,17,234
1821911,348.1067708333333,34992,3089,12,1,118
1822403,256.5848388671875,34918,17898,1,12,235
1823145,236.47216796875,34976,51656,3,37,593
1823153,336.25474039713544,35021,88053,6,1,17
1823627,228.18658447265625,35023,89340,17,1,12
1823779,332.6251627604167,34870,70403,1,22,134
1824007,6.968583424886067,34879,144865,5,1,1
1824661,369.2881673177083,34910,86034,1,2,202
1824805,186.98990885416666,34973,89241,3,1,203
1825501,117.29017130533855,34960,83975,17,1,3
1825823,304.1024169921875,34967,76306,1,22,15
1825989,68.68900044759114,34712,45555,4,9,7
1827213,42.8999989827474,35032,33342,1,17,241
1827225,178.006591796875,35014,87086,3,8,3
1827469,338.1456705729167,34928,54132,1,24,215
1828415,316.93882242838544,34983,24674,1,17,37
1829375,207.5566609700521,34917,32918,1,11,20
1829515,233.68865966796875,34975,114407,1,22,22
1830547,73.36316426595052,34959,2786,1,17,10
1830931,27.226168314615887,35015,70448,1,14,220
1831055,364.79150390625,34805,36535,1,9,4
1831597,342.447998046875,35015,48089,3,10,4
1831753,93.57657877604167,34695,69300,5,1,310
1832847,169.40791829427084,34944,25004,1,12,8
1833465,297.96641031901044,34999,83746,1,12,3
1833729,324.232421875,34974,145619,10,1,21
1833913,140.59491984049478,34934,543,10,1,34
1834141,25.511998494466145,34687,24962,5,1,5
1835099,354.2209879557292,35008,88355,3,4,147
1901696,104.09108479817708,34911,78374,1,12,235
1902296,314.38242594401044,35008,78407,17,1,2
1902488,34.698333740234375,34991,37209,1,12,235
1902532,252.8205769856771,34951,62079,1,10,136
1902684,297.7152506510417,34968,12009,1,23,212
1906752,297.20892333984375,34992,60113,1,22,203
1907196,58.9808349609375,34984,83331,3,37,135
1908200,184.1380818684896,35007,49200,1,17,44
1908344,95.30991617838542,34984,136432,3,27,411
1909300,142.41558837890625,34557,109206,11,12,122
1909932,298.6109212239583,34918,86261,3,37,191
1911197,194.47674560546875,34759,50990,15,11,103
1911209,121.58641560872395,34967,19233,3,4,22
1911585,81.90258280436198,35039,28096,1,18,228
1911677,81.63641357421875,34983,68871,6,1,20
1912425,2.7597500483194985,35008,114949,17,3,11
1912964,274.7933349609375,34975,86379,11,12,330
1913409,267.06516520182294,34949,84575,1,22,204
1913533,293.7388509114583,34960,42599,3,4,39
1914065,23.159584045410156,34976,45583,16,6,115
1914281,340.0345052083333,34960,4124,12,1,12
1915333,105.22083536783855,34903,18780,1,22,6
1915621,307.92083740234375,34943,36013,3,27,212
1916449,160.11257934570312,34991,47846,1,4,104
1916809,21.436665852864582,34973,12079,1,22,105
1917109,251.5995890299479,34951,143006,1,12,8
1917937,165.07967122395834,35008,76735,13,1,119
1918197,110.14225260416667,34887,69307,1,12,135
1919361,88.8302510579427,34982,116450,16,1,7
1920249,236.73624674479166,34702,107186,3,4,138
1922345,114.25741577148438,34919,83525,1,12,8
1923253,318.19175211588544,34848,17978,3,17,264
1923977,137.63316853841147,34983,33769,3,37,291
