department,section,segment,avg_consum_mean,avg_consum_std,qty_customers_count
1,1,1,298.52800157335065,81.39431322743724,3
1,1,2,149.97166951497397,,1
1,1,3,347.9300130208333,,1
1,1,104,249.19317626953125,,1
1,1,105,254.97041829427084,,1
1,1,204,284.0945739746094,97.03790417584416,2
1,1,205,362.0030924479167,,1
1,2,102,138.2721735636393,99.02418556720849,2
1,2,202,352.05150349934894,24.376323741989445,2
1,3,104,225.1275838216146,,1
1,3,201,139.3238321940104,,1
1,4,1,195.32512919108072,184.64251567671488,3
1,4,104,273.37716420491535,103.89106901643214,4
1,4,202,309.13592529296875,,1
1,4,203,29.350916544596355,,1
1,5,102,244.3808390299479,,1
1,5,105,321.7662048339844,3.8600417115810317,2
1,5,106,180.66991170247394,31.662003756038782,2
1,5,201,275.00133260091144,49.06107160266906,2
1,6,101,233.02566189236111,16.9420336849503,3
1,6,202,151.38058471679688,,1
1,6,203,93.80250040690105,,1
1,7,1,47.32316589355469,,1
1,7,9,159.2339579264323,139.66295465125705,2
1,7,103,364.1435953776042,,1
1,7,104,299.6930847167969,58.58508869526689,2
1,7,203,191.39874267578125,,1
1,7,206,280.7756754557292,,1
1,7,207,98.8683369954427,,1
1,7,208,249.4544881184896,,1
1,7,303,247.90958658854166,,1
1,8,1,356.9011637369792,,1
1,8,2,206.718994140625,,1
1,8,4,153.03091891606647,211.3490342504263,2
1,8,105,274.8177519298735,80.00853305038189,7
1,8,114,214.0430908203125,,1
1,8,314,202.18892415364584,,1
1,9,4,364.79150390625,,1
1,9,6,272.5410563151042,131.54395838760993,2
1,9,9,305.4829915364583,,1
1,9,11,271.4804280598958,,1
1,9,15,147.46358235677084,,1
1,9,18,270.54200236002606,12.79132171111146,2
1,9,21,260.75441487630206,,1
1,9,29,316.0819142659505,49.48671890798528,4
1,9,30,391.2965901692708,,1
1,9,33,206.39925130208331,9.647047227540593,2
1,9,38,193.83520992218504,86.97398235776133,21
1,9,59,137.4564412434896,41.61068375834673,3
1,9,60,201.28687690286074,88.85779814686327,17
1,9,61,256.61182556152346,80.26984148512561,10
1,9,117,225.9446081864206,99.93041524868192,19
1,9,217,401.36474609375,,1
1,9,255,339.63983154296875,,1
